run_id,model_name,candidate_id,compare_group_id,n_reservoir,spectral_radius,chaotic_spectral_radius,input_scale,leak_rate,ridge_alpha,g_start,g_end,params_json,params_repr,n_series,horizon,mae_mean,rmse_mean,mase_mean,directional_accuracy_mean,fit_time_sec_mean,predict_time_sec_mean,total_runtime_sec,status,notes
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g001,esn_grp_001,64,0.9,,0.1,1.0,0.0001,,,"{""compare_group_id"": ""esn_grp_001"", ""model_params"": {""input_scale"": 0.1, ""leak_rate"": 1.0, ""n_reservoir"": 64, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.9}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 64, 'spectral_radius': 0.9, 'input_scale': 0.1, 'leak_rate': 1.0, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_001'}",12,1,0.010394548309348491,0.014367681738702372,0.6820256255959546,0.5028320986192303,0.4321654500025842,0.269285669437118,25.252240299829282,success,
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g001,esn_grp_001,64,0.9,,0.1,1.0,0.0001,,,"{""compare_group_id"": ""esn_grp_001"", ""model_params"": {""input_scale"": 0.1, ""leak_rate"": 1.0, ""n_reservoir"": 64, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.9}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 64, 'spectral_radius': 0.9, 'input_scale': 0.1, 'leak_rate': 1.0, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_001'}",12,5,0.02330462272532673,0.03140757195228856,1.5579673707462571,0.5142186926229845,0.2200205222211985,0.1373269750005824,12.864509899984114,success,
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g001,esn_grp_001,64,0.9,,0.1,1.0,0.0001,,,"{""compare_group_id"": ""esn_grp_001"", ""model_params"": {""input_scale"": 0.1, ""leak_rate"": 1.0, ""n_reservoir"": 64, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.9}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 64, 'spectral_radius': 0.9, 'input_scale': 0.1, 'leak_rate': 1.0, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_001'}",12,20,0.04768954333195959,0.06154801970929421,3.1879768378454045,0.49472852936431627,0.11045975554346417,0.06862462778291148,6.447037799749523,success,
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g002,esn_grp_002,96,0.95,,0.1,0.8,0.0001,,,"{""compare_group_id"": ""esn_grp_002"", ""model_params"": {""input_scale"": 0.1, ""leak_rate"": 0.8, ""n_reservoir"": 96, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.95}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 96, 'spectral_radius': 0.95, 'input_scale': 0.1, 'leak_rate': 0.8, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_002'}",12,1,0.010367614607642317,0.014336366698405179,0.6796647759153229,0.5039032153473144,0.48818384444004753,0.3018619277799088,28.441647799918428,success,
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g002,esn_grp_002,96,0.95,,0.1,0.8,0.0001,,,"{""compare_group_id"": ""esn_grp_002"", ""model_params"": {""input_scale"": 0.1, ""leak_rate"": 0.8, ""n_reservoir"": 96, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.95}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 96, 'spectral_radius': 0.95, 'input_scale': 0.1, 'leak_rate': 0.8, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_002'}",12,5,0.023319713176952844,0.03142107448277961,1.5631760344033567,0.5154013666419962,0.2484834694348845,0.15544259442766714,14.541338299051858,success,
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g002,esn_grp_002,96,0.95,,0.1,0.8,0.0001,,,"{""compare_group_id"": ""esn_grp_002"", ""model_params"": {""input_scale"": 0.1, ""leak_rate"": 0.8, ""n_reservoir"": 96, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.95}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 96, 'spectral_radius': 0.95, 'input_scale': 0.1, 'leak_rate': 0.8, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_002'}",12,20,0.04771501819164769,0.061567154745995036,3.1897412773198557,0.4955321714480752,0.12363893333369762,0.0770179055560018,7.2236462000291795,success,
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g003,esn_grp_003,128,0.98,,0.08,0.7,0.0005,,,"{""compare_group_id"": ""esn_grp_003"", ""model_params"": {""input_scale"": 0.08, ""leak_rate"": 0.7, ""n_reservoir"": 128, ""ridge_alpha"": 0.0005, ""seed"": 2026, ""spectral_radius"": 0.98}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 128, 'spectral_radius': 0.98, 'input_scale': 0.08, 'leak_rate': 0.7, 'ridge_alpha': 0.0005, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_003'}",12,1,0.010341376662373733,0.014291370215843086,0.6773609985805448,0.507183991941757,0.5762485083347807,0.35777577498811297,33.62487419962417,success,
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g003,esn_grp_003,128,0.98,,0.08,0.7,0.0005,,,"{""compare_group_id"": ""esn_grp_003"", ""model_params"": {""input_scale"": 0.08, ""leak_rate"": 0.7, ""n_reservoir"": 128, ""ridge_alpha"": 0.0005, ""seed"": 2026, ""spectral_radius"": 0.98}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 128, 'spectral_radius': 0.98, 'input_scale': 0.08, 'leak_rate': 0.7, 'ridge_alpha': 0.0005, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_003'}",12,5,0.02328078903148209,0.031388894407433754,1.556589419404968,0.5155740776203771,0.2949133416663648,0.18188929722075242,17.164894999936223,success,
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g003,esn_grp_003,128,0.98,,0.08,0.7,0.0005,,,"{""compare_group_id"": ""esn_grp_003"", ""model_params"": {""input_scale"": 0.08, ""leak_rate"": 0.7, ""n_reservoir"": 128, ""ridge_alpha"": 0.0005, ""seed"": 2026, ""spectral_radius"": 0.98}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 128, 'spectral_radius': 0.98, 'input_scale': 0.08, 'leak_rate': 0.7, 'ridge_alpha': 0.0005, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_003'}",12,20,0.04776794316810811,0.06157144711009622,3.189603833897907,0.49499674594262427,0.14732166110964803,0.09123454444084524,8.588023399817757,success,
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g004,esn_grp_004,160,0.92,,0.12,0.9,0.001,,,"{""compare_group_id"": ""esn_grp_004"", ""model_params"": {""input_scale"": 0.12, ""leak_rate"": 0.9, ""n_reservoir"": 160, ""ridge_alpha"": 0.001, ""seed"": 2026, ""spectral_radius"": 0.92}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 160, 'spectral_radius': 0.92, 'input_scale': 0.12, 'leak_rate': 0.9, 'ridge_alpha': 0.001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_004'}",12,1,0.010352856343825713,0.01431152315879061,0.678352338223743,0.5029487639329754,0.6753047555555693,0.41758842222043313,39.34415439993609,success,
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g004,esn_grp_004,160,0.92,,0.12,0.9,0.001,,,"{""compare_group_id"": ""esn_grp_004"", ""model_params"": {""input_scale"": 0.12, ""leak_rate"": 0.9, ""n_reservoir"": 160, ""ridge_alpha"": 0.001, ""seed"": 2026, ""spectral_radius"": 0.92}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 160, 'spectral_radius': 0.92, 'input_scale': 0.12, 'leak_rate': 0.9, 'ridge_alpha': 0.001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_004'}",12,5,0.023163242498235533,0.031231174328555364,1.5390451327076244,0.5135002732595695,0.34190741667407565,0.21257114998944515,19.96122839988675,success,
architecture_tuning_esn_v1_20260329T153803Z,esn,esn_g004,esn_grp_004,160,0.92,,0.12,0.9,0.001,,,"{""compare_group_id"": ""esn_grp_004"", ""model_params"": {""input_scale"": 0.12, ""leak_rate"": 0.9, ""n_reservoir"": 160, ""ridge_alpha"": 0.001, ""seed"": 2026, ""spectral_radius"": 0.92}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 160, 'spectral_radius': 0.92, 'input_scale': 0.12, 'leak_rate': 0.9, 'ridge_alpha': 0.001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_004'}",12,20,0.04772484293579016,0.06152866527465806,3.1825443355985055,0.49454518468720066,0.16981130555116883,0.1043188499978795,9.86868559976574,success,
architecture_tuning_esn_v1_20260329T153803Z,chaotic_esn,chaotic_esn_g001,esn_grp_001,64,0.9,1.2,0.1,1.0,0.0001,,,"{""compare_group_id"": ""esn_grp_001"", ""model_params"": {""chaotic_spectral_radius"": 1.2, ""input_scale"": 0.1, ""leak_rate"": 1.0, ""n_reservoir"": 64, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.9}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 64, 'spectral_radius': 0.9, 'chaotic_spectral_radius': 1.2, 'input_scale': 0.1, 'leak_rate': 1.0, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_001'}",12,1,0.010999481454626028,0.015536909420227526,0.7191475790261573,0.4996293329807145,0.4336332444347337,0.2700599166791006,25.33295380009804,success,
architecture_tuning_esn_v1_20260329T153803Z,chaotic_esn,chaotic_esn_g001,esn_grp_001,64,0.9,1.2,0.1,1.0,0.0001,,,"{""compare_group_id"": ""esn_grp_001"", ""model_params"": {""chaotic_spectral_radius"": 1.2, ""input_scale"": 0.1, ""leak_rate"": 1.0, ""n_reservoir"": 64, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.9}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 64, 'spectral_radius': 0.9, 'chaotic_spectral_radius': 1.2, 'input_scale': 0.1, 'leak_rate': 1.0, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_001'}",12,5,0.024790651887008613,0.0332120190177705,1.688271995118107,0.5012636397141818,0.22059320555288445,0.13720999998945946,12.880915399524383,success,
architecture_tuning_esn_v1_20260329T153803Z,chaotic_esn,chaotic_esn_g001,esn_grp_001,64,0.9,1.2,0.1,1.0,0.0001,,,"{""compare_group_id"": ""esn_grp_001"", ""model_params"": {""chaotic_spectral_radius"": 1.2, ""input_scale"": 0.1, ""leak_rate"": 1.0, ""n_reservoir"": 64, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.9}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 64, 'spectral_radius': 0.9, 'chaotic_spectral_radius': 1.2, 'input_scale': 0.1, 'leak_rate': 1.0, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_001'}",12,20,0.049912334025310263,0.06476111057317578,3.3422625620851076,0.5077951211990984,0.11070800000258409,0.0689723416710169,6.468492300249636,success,
architecture_tuning_esn_v1_20260329T153803Z,chaotic_esn,chaotic_esn_g002,esn_grp_002,96,0.95,1.25,0.1,0.8,0.0001,,,"{""compare_group_id"": ""esn_grp_002"", ""model_params"": {""chaotic_spectral_radius"": 1.25, ""input_scale"": 0.1, ""leak_rate"": 0.8, ""n_reservoir"": 96, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.95}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 96, 'spectral_radius': 0.95, 'chaotic_spectral_radius': 1.25, 'input_scale': 0.1, 'leak_rate': 0.8, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_002'}",12,1,0.010631669519828172,0.014730168451518214,0.6957751801022097,0.5007984906462047,0.48397612776736637,0.3019129888853059,28.292008199496195,success,
architecture_tuning_esn_v1_20260329T153803Z,chaotic_esn,chaotic_esn_g002,esn_grp_002,96,0.95,1.25,0.1,0.8,0.0001,,,"{""compare_group_id"": ""esn_grp_002"", ""model_params"": {""chaotic_spectral_radius"": 1.25, ""input_scale"": 0.1, ""leak_rate"": 0.8, ""n_reservoir"": 96, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.95}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 96, 'spectral_radius': 0.95, 'chaotic_spectral_radius': 1.25, 'input_scale': 0.1, 'leak_rate': 0.8, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_002'}",12,5,0.024480296344171606,0.033038773112283974,1.6625723518610795,0.5070071814842384,0.2449938638924828,0.15336319167141077,14.340854000300169,success,
architecture_tuning_esn_v1_20260329T153803Z,chaotic_esn,chaotic_esn_g002,esn_grp_002,96,0.95,1.25,0.1,0.8,0.0001,,,"{""compare_group_id"": ""esn_grp_002"", ""model_params"": {""chaotic_spectral_radius"": 1.25, ""input_scale"": 0.1, ""leak_rate"": 0.8, ""n_reservoir"": 96, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.95}, ""runtime_params"": {}}","{'model_params': {'n_reservoir': 96, 'spectral_radius': 0.95, 'chaotic_spectral_radius': 1.25, 'input_scale': 0.1, 'leak_rate': 0.8, 'ridge_alpha': 0.0001, 'seed': 2026}, 'runtime_params': {}, 'compare_group_id': 'esn_grp_002'}",12,20,0.05003216624556578,0.06728686751557349,3.382112977789939,0.5085186234446596,0.12288245001238668,0.07651925277766876,7.178461300441995,success,
