run_id,horizon,compare_group_id,esn_candidate_id,chaotic_esn_candidate_id,transient_chaotic_esn_candidate_id,esn_mae_mean,chaotic_esn_mae_mean,transient_chaotic_esn_mae_mean,chaotic_esn_delta_mae_vs_esn,transient_chaotic_esn_delta_mae_vs_esn,esn_runtime_sec_mean,chaotic_esn_runtime_sec_mean,transient_chaotic_esn_runtime_sec_mean,chaotic_esn_runtime_delta_sec_vs_esn,transient_chaotic_esn_runtime_delta_sec_vs_esn,esn_status,chaotic_esn_status,transient_chaotic_esn_status
architecture_tuning_esn_v1_20260329T153803Z,1,esn_grp_001,esn_g001,chaotic_esn_g001,transient_chaotic_esn_g001,0.010394548309348491,0.010999481454626028,0.010392390738578351,0.0006049331452775367,-2.1575707701403796e-06,0.7014511194397022,0.7036931611138344,0.8694164000011775,0.0022420416741322224,0.1679652805614753,success,success,success
architecture_tuning_esn_v1_20260329T153803Z,1,esn_grp_002,esn_g002,chaotic_esn_g002,transient_chaotic_esn_g002,0.010367614607642317,0.010631669519828172,0.010360848949209129,0.0002640549121858543,-6.76565843318877e-06,0.7900457722199563,0.7858891166526722,0.951009063894162,-0.004156655567284062,0.16096329167420564,success,success,success
architecture_tuning_esn_v1_20260329T153803Z,1,esn_grp_003,esn_g003,chaotic_esn_g003,transient_chaotic_esn_g003,0.010341376662373733,0.01228276575796864,0.010385344672110332,0.001941389095594907,4.396800973659881e-05,0.9340242833228937,0.9367246194419245,1.1174777805507699,0.002700336119030866,0.18345349722787618,success,success,success
architecture_tuning_esn_v1_20260329T153803Z,1,esn_grp_004,esn_g004,chaotic_esn_g004,transient_chaotic_esn_g004,0.010352856343825713,0.011735117683536932,0.010360384840056773,0.0013822613397112184,7.528496231059417e-06,1.0928931777760025,1.0839998111187015,1.2738229194526665,-0.008893366657301005,0.18092974167666398,success,success,success
architecture_tuning_esn_v1_20260329T153803Z,5,esn_grp_001,esn_g001,chaotic_esn_g001,transient_chaotic_esn_g001,0.02330462272532673,0.024790651887008613,0.023407375987138875,0.001486029161681883,0.00010275326181214545,0.35734749722178094,0.3578032055423439,0.4426269472201562,0.0004557083205629642,0.08527944999837528,success,success,success
architecture_tuning_esn_v1_20260329T153803Z,5,esn_grp_002,esn_g002,chaotic_esn_g002,transient_chaotic_esn_g002,0.023319713176952844,0.024480296344171606,0.02333578608268773,0.001160583167218763,1.6072905734885318e-05,0.40392606386255164,0.39835705556389356,0.4846286139056448,-0.005569008298658085,0.08070255004309318,success,success,success
architecture_tuning_esn_v1_20260329T153803Z,5,esn_grp_003,esn_g003,chaotic_esn_g003,transient_chaotic_esn_g003,0.02328078903148209,0.0247903115117102,0.02339023900983392,0.00150952248022811,0.00010944997835182768,0.4768026388871172,0.47383688334310947,0.5700961722242128,-0.002965755544007742,0.09329353333709561,success,success,success
architecture_tuning_esn_v1_20260329T153803Z,5,esn_grp_004,esn_g004,chaotic_esn_g004,transient_chaotic_esn_g004,0.023163242498235533,0.025442681533108424,0.023238912394934252,0.0022794390348728905,7.566989669871918e-05,0.5544785666635208,0.5471194583353484,0.6463005749909724,-0.007359108328172437,0.09182200832745158,success,success,success
architecture_tuning_esn_v1_20260329T153803Z,20,esn_grp_001,esn_g001,chaotic_esn_g001,transient_chaotic_esn_g001,0.04768954333195959,0.049912334025310263,0.04764358963206822,0.002222790693350671,-4.595369989137538e-05,0.17908438332637566,0.17968034167360097,0.2229723694423835,0.0005959583472253116,0.04388798611600783,success,success,success
architecture_tuning_esn_v1_20260329T153803Z,20,esn_grp_002,esn_g002,chaotic_esn_g002,transient_chaotic_esn_g002,0.04771501819164769,0.05003216624556578,0.04759312950856324,0.0023171480539180903,-0.00012188868308445067,0.20065683888969943,0.19940170279005542,0.24336204445312937,-0.0012551360996440053,0.04270520556342994,success,success,success
architecture_tuning_esn_v1_20260329T153803Z,20,esn_grp_003,esn_g003,chaotic_esn_g003,transient_chaotic_esn_g003,0.04776794316810811,0.04753378675828981,0.047784861896223524,-0.00023415640981830355,1.6918728115412895e-05,0.23855620555049328,0.23772545834071934,0.2851679250015877,-0.000830747209773941,0.046611719451094435,success,success,success
architecture_tuning_esn_v1_20260329T153803Z,20,esn_grp_004,esn_g004,chaotic_esn_g004,transient_chaotic_esn_g004,0.04772484293579016,0.04764911907732803,0.047796898898081884,-7.572385846212754e-05,7.20559622917269e-05,0.27413015554904835,0.27532976388465613,0.322261844447995,0.0011996083356077825,0.048131688898946645,success,success,success
