horizon,target_metric,candidate_set,n_models
1,directional_accuracy,top_3,3
1,directional_accuracy,top_4,4
1,directional_accuracy,top_5,5
1,directional_accuracy,top_6,6
1,rmse,top_3,3
1,rmse,top_4,4
1,rmse,top_5,5
1,rmse,top_6,6
5,directional_accuracy,top_3,3
5,directional_accuracy,top_4,4
5,directional_accuracy,top_5,5
5,directional_accuracy,top_6,6
5,rmse,top_3,3
5,rmse,top_4,4
5,rmse,top_5,5
5,rmse,top_6,6
20,directional_accuracy,top_3,3
20,directional_accuracy,top_4,4
20,directional_accuracy,top_5,5
20,directional_accuracy,top_6,6
20,rmse,top_3,3
20,rmse,top_4,4
20,rmse,top_5,5
20,rmse,top_6,6
