config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters,n_bootstrap,ari_mean,ari_std,nmi_mean,nmi_std,profile_stability_mean,notes
cfg_0067,base,identity,pca,5.0,agglomerative,5,30,0.6457433934789021,0.2010617282672644,0.6267540125077828,0.14909407336981428,,failed_bootstrap_runs=0
cfg_0081,base,identity,pca,6.0,agglomerative,5,30,0.6702677466582248,0.16612841231895,0.6260772693647555,0.1381987814287654,,failed_bootstrap_runs=0
cfg_0039,base,identity,pca,3.0,agglomerative,5,30,0.5696063192450016,0.18150017576473293,0.5538143964920815,0.12475903124570309,,failed_bootstrap_runs=0
cfg_0185,base,quantile,pca,2.0,gmm,4,30,0.8786421325815836,0.05981203586185803,0.8352794739265558,0.07417736436577371,,failed_bootstrap_runs=0
cfg_0029,base,identity,pca,3.0,gmm,2,30,0.9745381316033325,0.028547725325179848,0.9439557454705036,0.0554264780120851,,failed_bootstrap_runs=0
cfg_0043,base,identity,pca,4.0,gmm,2,30,0.8890150092711939,0.22505851871931218,0.8502107982836107,0.23659588609723414,,failed_bootstrap_runs=0
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,30,0.6245824350631745,0.13212922565727492,0.7513109541611376,0.09309229324105553,,failed_bootstrap_runs=0
cfg_0445,with_chaos,quantile,pca,2.0,agglomerative,5,30,0.6872448986832086,0.13113235857128272,0.7509961511173068,0.07292878536999226,,failed_bootstrap_runs=0
cfg_0443,with_chaos,quantile,pca,2.0,agglomerative,3,30,0.7698859559019466,0.17445680520775828,0.7892922929490093,0.10872755607137961,,failed_bootstrap_runs=0
cfg_0440,with_chaos,quantile,pca,2.0,gmm,7,30,0.6424367270879361,0.12932685324008034,0.7433427059846615,0.0643816824256213,,failed_bootstrap_runs=0
cfg_0436,with_chaos,quantile,pca,2.0,gmm,3,30,0.7623333277038585,0.17799196600557005,0.7869395535897457,0.11510878159514493,,failed_bootstrap_runs=0
cfg_0295,with_chaos,identity,pca,4.0,gmm,2,30,0.8482247725346135,0.2627888844346678,0.8135368781344233,0.28226625048278753,,failed_bootstrap_runs=0
