feature_name,source_block,set_name
hurst_rs,A,final_clustering_features_base_v1
hurst_dfa,A,final_clustering_features_base_v1
acf_lag_2,A,final_clustering_features_base_v1
acf_lag_5,A,final_clustering_features_base_v1
acf_lag_10,A,final_clustering_features_base_v1
acf_lag_25,A,final_clustering_features_base_v1
acf_lag_50,A,final_clustering_features_base_v1
acf_lag_100,A,final_clustering_features_base_v1
abs_acf_lag_2,A,final_clustering_features_base_v1
abs_acf_lag_5,A,final_clustering_features_base_v1
abs_acf_lag_10,A,final_clustering_features_base_v1
abs_acf_lag_25,A,final_clustering_features_base_v1
abs_acf_lag_50,A,final_clustering_features_base_v1
vr_q10,A,final_clustering_features_base_v1
lb_ret_stat_50,A,final_clustering_features_base_v1
lz_complexity,B,final_clustering_features_base_v1
permutation_entropy,B,final_clustering_features_base_v1
spectral_flatness,B,final_clustering_features_base_v1
kurtosis,C,final_clustering_features_base_v1
robust_kurtosis,C,final_clustering_features_base_v1
tail_ratio_upper,C,final_clustering_features_base_v1
hill_tail_index,C,final_clustering_features_base_v1
