config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters_requested,n_clusters_actual,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_size_min,cluster_size_max,cluster_size_ratio_max,n_singleton_clusters,n_small_clusters,n_rows,n_features_input,n_features_used,n_missing_imputed,explained_variance_ratio_sum,avg_assignment_confidence,min_assignment_confidence,entropy_of_assignment,ranking_score,notes
cfg_0067,base,identity,pca,5.0,agglomerative,5,5,0.5596720411605649,0.6934472549542046,538.9768476766243,2,326,0.7799043062200957,0,2,418,22,5,0,0.9999975306890333,,,,0.27150668701202707,
cfg_0081,base,identity,pca,6.0,agglomerative,5,5,0.5596671220819018,0.6934507982398543,538.9728619839384,2,326,0.7799043062200957,0,2,418,22,6,0,0.9999987648895171,,,,0.27149909343324097,
cfg_0039,base,identity,pca,3.0,agglomerative,5,5,0.5620025879715537,0.6732772664697311,522.8383481331811,2,339,0.8110047846889952,0,2,418,22,3,0,0.9999854917005188,,,,0.2521691097375356,
cfg_0185,base,quantile,pca,2.0,gmm,4,4,0.4243618480504958,0.829960652725207,278.94919027896304,44,183,0.43779904306220097,0,0,418,22,2,0,0.3665043165345859,0.8756331323578727,0.3661868303635142,0.335822056908893,0.26568358428324357,
cfg_0029,base,identity,pca,3.0,gmm,2,2,0.7107809823291869,1.270597288275746,157.125706475597,43,375,0.8971291866028708,0,0,418,22,3,0,0.9999854917005188,0.9865542725515866,0.5482957306808267,0.04378445136867882,0.19532853142265472,
cfg_0043,base,identity,pca,4.0,gmm,2,2,0.6969257171381419,1.289581525809726,148.99957524272074,46,372,0.8899521531100478,0,0,418,22,4,0,0.9999957060750176,0.9876544768989939,0.5307577211951335,0.04008669375197896,0.17800373685912063,
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,8,0.35756096537080784,0.8221570661444291,357.881022450207,10,101,0.24162679425837322,0,1,418,25,2,0,0.3485873960736579,,,,0.30392123186757686,
cfg_0445,with_chaos,quantile,pca,2.0,agglomerative,5,5,0.36790344052130663,0.8668927917121458,324.02284106452214,27,144,0.3444976076555024,0,0,418,25,2,0,0.3485873960736579,,,,0.27561088383251575,
cfg_0443,with_chaos,quantile,pca,2.0,agglomerative,3,3,0.41658728775651677,0.7992260162289838,336.956030708805,77,201,0.48086124401913877,0,0,418,25,2,0,0.3485873960736579,,,,0.2724582798125919,
cfg_0440,with_chaos,quantile,pca,2.0,gmm,7,7,0.37557784218855106,0.8200669195244282,352.5782588615564,11,146,0.3492822966507177,0,1,418,25,2,0,0.3485873960736579,0.8403866439695972,0.4115595702918795,0.4026284648156788,0.2601236886207819,
cfg_0436,with_chaos,quantile,pca,2.0,gmm,3,3,0.38185551856458255,0.8919451381972151,304.66065254927776,77,187,0.4473684210526316,0,0,418,25,2,0,0.3485873960736579,0.8570766115112388,0.5026209374433942,0.31632570145052047,0.22406500022523493,
cfg_0295,with_chaos,identity,pca,4.0,gmm,2,2,0.7157801466339454,1.2611185062084922,160.8847764081307,42,376,0.8995215311004785,0,0,418,25,4,0,0.9998206637628688,0.98690808679366,0.5656529553982026,0.043042269793143385,0.202491625793925,
